imageName X Y Z Omega Phi Kappa
Elettra-Carroponte2024-4080_pt.jpg 16.125491 -69.877144 5.709185 -1.532625 1.303339 147.673551
Elettra-Carroponte2024-4081_pt.jpg 16.472447 -70.115197 5.706796 -1.578238 1.190609 148.165671
Elettra-Carroponte2024-4082_pt.jpg 16.818606 -70.349324 5.705464 -1.555311 1.201305 148.652891
Elettra-Carroponte2024-4083_pt.jpg 17.171126 -70.583077 5.704591 -1.480556 1.344080 149.154501
Elettra-Carroponte2024-4084_pt.jpg 17.522391 -70.809870 5.704448 -1.486173 1.375219 149.622915
Elettra-Carroponte2024-4085_pt.jpg 17.882962 -71.039881 5.703991 -1.500440 1.309499 150.135678
Elettra-Carroponte2024-4086_pt.jpg 18.244141 -71.266984 5.704804 -1.543717 1.283389 150.632081
Elettra-Carroponte2024-4087_pt.jpg 18.603871 -71.488323 5.705276 -1.610510 1.124555 151.112120
Elettra-Carroponte2024-4088_pt.jpg 18.967196 -71.706774 5.707251 -1.628624 1.103731 151.614121
Elettra-Carroponte2024-4089_pt.jpg 19.337337 -71.924098 5.708070 -1.621266 1.173124 152.124474
Elettra-Carroponte2024-4090_pt.jpg 19.704863 -72.137860 5.708277 -1.690693 1.090849 152.567856
Elettra-Carroponte2024-4091_pt.jpg 20.065500 -72.342898 5.713045 -1.747160 0.971203 153.057469
Elettra-Carroponte2024-4092_pt.jpg 20.432486 -72.548217 5.715514 -1.730973 0.990165 153.567081
Elettra-Carroponte2024-4093_pt.jpg 20.803945 -72.750588 5.719102 -1.810541 0.877408 154.036533
Elettra-Carroponte2024-4094_pt.jpg 21.172596 -72.949726 5.721836 -1.805564 0.946871 154.519663
Elettra-Carroponte2024-4095_pt.jpg 21.538697 -73.141325 5.724426 -1.847306 0.944837 154.989809
Elettra-Carroponte2024-4096_pt.jpg 21.913886 -73.334837 5.724620 -1.856764 0.912090 155.480807
Elettra-Carroponte2024-4097_pt.jpg 22.294094 -73.522893 5.722154 -1.856217 1.000966 155.984145
Elettra-Carroponte2024-4098_pt.jpg 22.673558 -73.709221 5.718709 -1.801163 1.049763 156.528649
Elettra-Carroponte2024-4099_pt.jpg 23.055992 -73.891556 5.716183 -1.839065 0.968888 156.972814
Elettra-Carroponte2024-4100_pt.jpg 23.433571 -74.069894 5.710464 -1.715475 1.176979 157.498634
Elettra-Carroponte2024-4101_pt.jpg 23.815561 -74.243859 5.707160 -1.732656 1.191739 157.972529
Elettra-Carroponte2024-4102_pt.jpg 24.198424 -74.414010 5.703173 -1.672589 1.365024 158.468219
Elettra-Carroponte2024-4103_pt.jpg 24.581937 -74.582004 5.700047 -1.705149 1.216126 158.977450
Elettra-Carroponte2024-4104_pt.jpg 24.967775 -74.745125 5.697412 -1.660451 1.402140 159.476108
Elettra-Carroponte2024-4105_pt.jpg 25.362166 -74.908261 5.695763 -1.679065 1.321638 160.001534
Elettra-Carroponte2024-4106_pt.jpg 25.758527 -75.069190 5.694317 -1.741773 1.273874 160.496698
Elettra-Carroponte2024-4107_pt.jpg 26.155545 -75.227398 5.692201 -1.741028 1.289865 161.000761
Elettra-Carroponte2024-4108_pt.jpg 26.550395 -75.378772 5.690685 -1.769125 1.215065 161.505778
Elettra-Carroponte2024-4109_pt.jpg 26.947932 -75.528648 5.691172 -1.804851 1.069954 162.020961
Elettra-Carroponte2024-4110_pt.jpg 27.347058 -75.674922 5.690595 -1.822540 1.041364 162.531171
Elettra-Carroponte2024-4111_pt.jpg 27.743369 -75.818718 5.691202 -1.798261 1.122863 163.065026
Elettra-Carroponte2024-4112_pt.jpg 28.140927 -75.956327 5.691625 -1.872444 0.970732 163.539987
Elettra-Carroponte2024-4113_pt.jpg 28.535871 -76.089035 5.692131 -1.881822 0.932753 164.036421
Elettra-Carroponte2024-4114_pt.jpg 28.927060 -76.216769 5.693292 -1.923852 0.908494 164.505400
Elettra-Carroponte2024-4115_pt.jpg 29.326612 -76.344936 5.694814 -1.968351 0.771196 164.976288
Elettra-Carroponte2024-4116_pt.jpg 29.723777 -76.468928 5.695364 -1.978768 0.872819 165.451797
Elettra-Carroponte2024-4117_pt.jpg 30.117619 -76.589427 5.693810 -1.979674 0.724818 165.905172
Elettra-Carroponte2024-4118_pt.jpg 30.519293 -76.703060 5.690771 -2.040224 0.847736 166.330923
Elettra-Carroponte2024-4119_pt.jpg 30.921171 -76.817822 5.687106 -2.016517 0.752317 166.799673
Elettra-Carroponte2024-4120_pt.jpg 31.321414 -76.928976 5.682513 -1.978846 0.930137 167.285239
Elettra-Carroponte2024-4121_pt.jpg 31.722477 -77.036069 5.677672 -1.959467 0.885337 167.779299
Elettra-Carroponte2024-4122_pt.jpg 32.124391 -77.140185 5.673767 -1.958032 0.902194 168.259807
Elettra-Carroponte2024-4123_pt.jpg 32.525798 -77.239633 5.669656 -1.928148 0.887152 168.791787
Elettra-Carroponte2024-4124_pt.jpg 32.927307 -77.336120 5.665805 -1.921978 1.054918 169.251020
Elettra-Carroponte2024-4125_pt.jpg 33.328085 -77.428992 5.663211 -1.905178 0.899446 169.741581
Elettra-Carroponte2024-4126_pt.jpg 33.738551 -77.518775 5.662405 -1.904133 1.024770 170.269269
Elettra-Carroponte2024-4127_pt.jpg 36.479274 -78.044919 5.678804 -1.905298 0.155751 173.097988
Elettra-Carroponte2024-4128_pt.jpg 36.957998 -78.124144 5.682980 -1.894905 0.173353 173.700214
Elettra-Carroponte2024-4129_pt.jpg 37.437328 -78.197555 5.686917 -1.913002 0.188242 174.242793
Elettra-Carroponte2024-4130_pt.jpg 37.911466 -78.264553 5.691905 -1.929825 0.086918 174.820022
Elettra-Carroponte2024-4131_pt.jpg 38.391769 -78.326361 5.693955 -1.949952 0.017899 175.383395
Elettra-Carroponte2024-4132_pt.jpg 38.887057 -78.384914 5.692087 -1.917981 0.057790 175.995246
Elettra-Carroponte2024-4133_pt.jpg 39.398310 -78.438292 5.688856 -1.912713 0.036488 176.617230
Elettra-Carroponte2024-4134_pt.jpg 39.914408 -78.488159 5.684162 -1.887855 0.327085 177.239696
Elettra-Carroponte2024-4135_pt.jpg 40.432127 -78.532994 5.679593 -1.853630 0.308016 177.832748
Elettra-Carroponte2024-4136_pt.jpg 40.954434 -78.571387 5.677707 -1.858286 0.490467 178.462198
Elettra-Carroponte2024-4137_pt.jpg 41.498142 -78.605153 5.675437 -1.870081 0.526939 179.095694
Elettra-Carroponte2024-4138_pt.jpg 42.057836 -78.633150 5.675089 -1.812366 0.446187 179.824955
Elettra-Carroponte2024-4139_pt.jpg 42.614719 -78.653452 5.674341 -1.883743 0.506983 -179.537454
Elettra-Carroponte2024-4140_pt.jpg 43.171374 -78.667536 5.674030 -1.885859 0.300954 -178.888947
Elettra-Carroponte2024-4141_pt.jpg 43.723415 -78.676407 5.675704 -1.913068 0.270827 -178.224124
Elettra-Carroponte2024-4142_pt.jpg 44.274093 -78.678554 5.677438 -1.904899 0.115215 -177.551457
Elettra-Carroponte2024-4143_pt.jpg 44.830785 -78.673371 5.681037 -1.989436 0.354381 -176.887697
Elettra-Carroponte2024-4144_pt.jpg 45.383643 -78.663282 5.685235 -1.955280 -0.087830 -176.239086
Elettra-Carroponte2024-4145_pt.jpg 45.934699 -78.646388 5.688429 -1.974874 -0.009584 -175.588815
Elettra-Carroponte2024-4146_pt.jpg 46.488067 -78.623640 5.690867 -1.981031 -0.055945 -174.942969
Elettra-Carroponte2024-4147_pt.jpg 47.034862 -78.594774 5.693010 -2.021651 -0.021873 -174.314992
Elettra-Carroponte2024-4148_pt.jpg 47.584899 -78.559552 5.690194 -2.005278 0.040701 -173.641492
Elettra-Carroponte2024-4149_pt.jpg 48.136126 -78.519259 5.685704 -1.988648 -0.000541 -173.025605
Elettra-Carroponte2024-4150_pt.jpg 48.683470 -78.471488 5.682842 -2.000758 0.129242 -172.389871
Elettra-Carroponte2024-4151_pt.jpg 49.233830 -78.417910 5.679134 -1.977412 0.173934 -171.721728
