imageName X Y Z Omega Phi Kappa
Elettra-Carroponte2024-4014_pt.jpg -0.340737 -50.548602 5.661401 -0.868726 1.722844 118.120933
Elettra-Carroponte2024-4015_pt.jpg -0.144273 -50.956687 5.659356 -0.753819 1.775174 118.628692
Elettra-Carroponte2024-4016_pt.jpg 0.056906 -51.357966 5.658874 -0.764267 1.789739 119.141347
Elettra-Carroponte2024-4017_pt.jpg 0.260257 -51.757724 5.659259 -0.771632 1.760734 119.671907
Elettra-Carroponte2024-4018_pt.jpg 0.470425 -52.162659 5.659069 -0.750862 1.811478 120.177075
Elettra-Carroponte2024-4019_pt.jpg 0.684851 -52.568101 5.659853 -0.834148 1.751757 120.704069
Elettra-Carroponte2024-4020_pt.jpg 0.900931 -52.970229 5.660515 -0.855319 1.722950 121.228412
Elettra-Carroponte2024-4021_pt.jpg 1.124735 -53.369751 5.663266 -0.979405 1.640921 121.760071
Elettra-Carroponte2024-4022_pt.jpg 1.351492 -53.766137 5.666160 -0.949436 1.730043 122.252690
Elettra-Carroponte2024-4023_pt.jpg 1.584750 -54.161556 5.669002 -1.070672 1.693798 122.781104
Elettra-Carroponte2024-4024_pt.jpg 1.815869 -54.553844 5.672427 -1.168513 1.625031 123.300438
Elettra-Carroponte2024-4025_pt.jpg 2.048854 -54.941888 5.676977 -1.217337 1.621905 123.811669
Elettra-Carroponte2024-4026_pt.jpg 2.286079 -55.330883 5.681515 -1.220768 1.589225 124.362050
Elettra-Carroponte2024-4027_pt.jpg 2.524013 -55.712995 5.686330 -1.353709 1.490972 124.884595
Elettra-Carroponte2024-4028_pt.jpg 2.767907 -56.097829 5.689139 -1.315018 1.509267 125.403359
Elettra-Carroponte2024-4029_pt.jpg 3.016567 -56.484837 5.688134 -1.297812 1.456521 125.930576
Elettra-Carroponte2024-4030_pt.jpg 3.280211 -56.859502 5.681798 -1.333645 1.538100 126.485683
Elettra-Carroponte2024-4031_pt.jpg 3.531300 -57.240216 5.676758 -1.192231 1.543990 127.049594
Elettra-Carroponte2024-4032_pt.jpg 3.789704 -57.613719 5.676902 -1.199502 1.546615 127.526920
Elettra-Carroponte2024-4033_pt.jpg 4.051031 -57.981842 5.673799 -1.075255 1.590815 128.084218
Elettra-Carroponte2024-4034_pt.jpg 4.312919 -58.344685 5.671191 -1.076949 1.591261 128.598961
Elettra-Carroponte2024-4035_pt.jpg 4.579242 -58.706020 5.670298 -1.025715 1.643246 129.108136
Elettra-Carroponte2024-4036_pt.jpg 4.847267 -59.064724 5.669168 -0.953761 1.714982 129.620674
Elettra-Carroponte2024-4037_pt.jpg 5.120129 -59.423517 5.668805 -0.999067 1.667156 130.151794
Elettra-Carroponte2024-4038_pt.jpg 5.400715 -59.784470 5.669132 -1.023711 1.651483 130.681655
Elettra-Carroponte2024-4039_pt.jpg 5.684168 -60.143521 5.670226 -1.101900 1.572800 131.200547
Elettra-Carroponte2024-4040_pt.jpg 5.966839 -60.493944 5.671898 -1.136201 1.563352 131.701377
