#Image,X,Y,Z,Omega,Phi,Kappa,SigmaHoriz,SigmaVert
Elettra-Carroponte2024-4058_pt.jpg,11.59604725674673,-66.43322512651967,5.6635546727272725,-1.483183,-0.028753,141.32084640665096,2.0,0.5
Elettra-Carroponte2024-4059_pt.jpg,11.607448633534588,-66.44319128184088,5.6635546727272725,-1.483183,-0.028753,141.3383303073394,2.0,0.5
Elettra-Carroponte2024-4060_pt.jpg,11.618853055467916,-66.45315395241215,5.6635546727272725,-1.483183,-0.028753,141.35581420720092,2.0,0.5
Elettra-Carroponte2024-4061_pt.jpg,11.630260521481652,-66.46311313730303,5.6635546727272725,-1.483183,-0.028753,141.373298106238,2.0,0.5
Elettra-Carroponte2024-4062_pt.jpg,11.641671030510409,-66.4730688355834,5.6635546727272725,-1.483183,-0.028753,141.39078200445306,2.0,0.5
Elettra-Carroponte2024-4063_pt.jpg,11.653084581488535,-66.48302104632351,5.6635546727272725,-1.483183,-0.028753,141.40826590184844,2.0,0.5
Elettra-Carroponte2024-4064_pt.jpg,11.664501173350075,-66.49296976859384,5.6635546727272725,-1.483183,-0.028753,141.42574979842658,2.0,0.5
Elettra-Carroponte2024-4065_pt.jpg,11.67592080502881,-66.5029150014653,5.6635546727272725,-1.483183,-0.028753,141.44323369418981,2.0,0.5
Elettra-Carroponte2024-4066_pt.jpg,11.687343475458235,-66.51285674400904,5.6635546727272725,-1.483183,-0.028753,141.4607175891406,2.0,0.5
Elettra-Carroponte2024-4169_pt.jpg,55.36362690415969,-77.41137827063282,5.6635546727272725,-1.483183,-0.028753,195.41896140994132,1.0,0.3
Elettra-Carroponte2024-4226_pt.jpg,86.96382654385917,-54.18592564361467,5.6635546727272725,-1.483183,-0.028753,242.01911893479755,2.0,0.5
Elettra-Carroponte2024-4228_pt.jpg,87.46662052419552,-53.307606701689934,5.6635546727272725,-1.483183,-0.028753,243.18950983147084,2.0,0.5
Elettra-Carroponte2024-4296_pt.jpg,89.75048196376062,-9.591686181089312,5.6635546727272725,-1.483183,-0.028753,295.65600437813424,2.0,0.5
Elettra-Carroponte2024-4297_pt.jpg,89.7674293088817,-9.631231477930111,5.6635546727272725,-1.483183,-0.028753,295.60619407966186,2.0,0.5
Elettra-Carroponte2024-4298_pt.jpg,89.78434231218122,-9.670791474495708,5.6635546727272725,-1.483183,-0.028753,295.55638381504014,1.0,0.3
Elettra-Carroponte2024-4299_pt.jpg,89.49703797861181,-9.011267757452714,5.6635546727272725,-1.483183,-0.028753,296.38925589002133,2.0,0.5
Elettra-Carroponte2024-4300_pt.jpg,89.20018933492779,-8.355984462859496,5.6635546727272725,-1.483183,-0.028753,297.2221372192635,2.0,0.5
Elettra-Carroponte2024-4301_pt.jpg,88.89385894696306,-7.705079702668456,5.6635546727272725,-1.483183,-0.028753,298.05502757777407,2.0,0.5
Elettra-Carroponte2024-4302_pt.jpg,88.57811137898821,-7.058690665982379,5.6635546727272725,-1.483183,-0.028753,298.8879267386278,2.0,0.5
Elettra-Carroponte2024-4303_pt.jpg,88.25301318010261,-6.416953590139531,5.6635546727272725,-1.483183,-0.028753,299.72083447301554,2.0,0.5
Elettra-Carroponte2024-4304_pt.jpg,87.91863287020804,-5.780003731999358,5.6635546727272725,-1.483183,-0.028753,300.55375055029265,2.0,0.5
Elettra-Carroponte2024-4305_pt.jpg,87.57504092556691,-5.147975339434826,5.6635546727272725,-1.483183,-0.028753,301.3866747380281,2.0,0.5
Elettra-Carroponte2024-4306_pt.jpg,87.2223097639483,-4.521001623037421,5.6635546727272725,-1.483183,-0.028753,302.2196068020546,2.0,0.5
Elettra-Carroponte2024-4307_pt.jpg,86.86051372936465,-3.899214728040807,5.6635546727272725,-1.483183,-0.028753,303.0525465065179,2.0,0.5
Elettra-Carroponte2024-4308_pt.jpg,86.48972907640253,-3.282745706468983,5.6635546727272725,-1.483183,-0.028753,303.88549361392734,2.0,0.5
Elettra-Carroponte2024-4309_pt.jpg,86.11003395415065,-2.6717244895148404,5.6635546727272725,-1.483183,-0.028753,304.7184478852067,2.0,0.5
Elettra-Carroponte2024-4310_pt.jpg,85.72150838972871,-2.0662798601550527,5.6635546727272725,-1.483183,-0.028753,305.55140907974504,1.0,0.3
Elettra-Carroponte2024-4311_pt.jpg,85.35308472869227,-1.5094622666262367,5.6635546727272725,-1.483183,-0.028753,306.3244939585974,2.0,0.5
Elettra-Carroponte2024-4312_pt.jpg,84.97719205057349,-0.9576592936264241,5.6635546727272725,-1.483183,-0.028753,307.0975843978801,2.0,0.5
Elettra-Carroponte2024-4313_pt.jpg,84.59389859948467,-0.41097112215465614,5.6635546727272725,-1.483183,-0.028753,307.87068020191737,2.0,0.5
Elettra-Carroponte2024-4314_pt.jpg,84.20327396316404,0.13050299539309052,5.6635546727272725,-1.483183,-0.028753,308.64378117404306,2.0,0.5
Elettra-Carroponte2024-4315_pt.jpg,83.8053890603421,0.6666647532433672,5.6635546727272725,-1.483183,-0.028753,309.41688711663693,2.0,0.5
Elettra-Carroponte2024-4316_pt.jpg,83.40031612786603,1.1974168100928892,5.6635546727272725,-1.483183,-0.028753,310.18999783116107,2.0,0.5
Elettra-Carroponte2024-4317_pt.jpg,82.98812870758516,1.7226628067810381,5.6635546727272725,-1.483183,-0.028753,310.9631131181965,2.0,0.5
Elettra-Carroponte2024-4318_pt.jpg,82.56890163299906,2.2423073837841123,5.6635546727272725,-1.483183,-0.028753,311.7362327774799,2.0,0.5
Elettra-Carroponte2024-4319_pt.jpg,82.14271101567147,2.756256198528014,5.6635546727272725,-1.483183,-0.028753,312.50935660794084,2.0,0.5
Elettra-Carroponte2024-4320_pt.jpg,81.70963423141208,3.2644159425163295,5.6635546727272725,-1.483183,-0.028753,313.282484407738,2.0,0.5
Elettra-Carroponte2024-4321_pt.jpg,81.26974990622878,3.7666943582707475,5.6635546727272725,-1.483183,-0.028753,314.0556159742976,2.0,0.5
Elettra-Carroponte2024-4322_pt.jpg,80.82313790205293,4.263000256080531,5.6635546727272725,-1.483183,-0.028753,314.8287511043497,2.0,0.5
Elettra-Carroponte2024-4323_pt.jpg,80.3698793022403,4.753243530558237,5.6635546727272725,-1.483183,-0.028753,315.60188959396635,1.0,0.3
